Дисциплина;Курс;Семестр;КодКомпетенции;Компетенция;Тип_Компетенции;Название;УчебныйГод;Код_Студента;Оценка;Описание
Подготовка к процедуре защиты и защита выпускной квалификационной работы;4;8;265820;Способен инсталлировать и сопровождать программное обеспечение информационных систем и баз данных, в том числе отечественного происхождения, с учетом информационной безопасности ОПК-5;ОПК;404а;2023-2024;102409;Отл;ВыпРаб
Подготовка к процедуре защиты и защита выпускной квалификационной работы;4;8;265821;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2023-2024;102409;Отл;ВыпРаб
Подготовка к процедуре защиты и защита выпускной квалификационной работы;4;8;265822;"Готовность к включению в профессиональное сообщество; способность проводить под научным руководством локальные исследования на основе существующих методов в конкретной области профессиональной деятельности ПК-2";ПК;404а;2023-2024;102409;Отл;ВыпРаб
Подготовка к процедуре защиты и защита выпускной квалификационной работы;4;8;265823;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2023-2024;102409;Отл;ВыпРаб
Подготовка к процедуре защиты и защита выпускной квалификационной работы;4;8;265824;"Способность к анализу требований и разработке вариантов реализации информационной системы; способность к оценке качества, надежности и эффективности информационной системы в конкретной профессиональной сфере ПК-5";ПК;404а;2023-2024;102409;Отл;ВыпРаб
Подготовка к процедуре защиты и защита выпускной квалификационной работы;4;8;265825;Способность применять в профессиональной деятельности современные языки программирования и методы параллельной обработки данных, операционные системы, электронные библиотеки и пакеты программ, сетевые технологии ПК-6;ПК;404а;2023-2024;102409;Отл;ВыпРаб
Подготовка к процедуре защиты и защита выпускной квалификационной работы;4;8;265826;"Способность собирать, обрабатывать и интерпретировать экспериментальные данные, необходимые для проектной и производственно-технологической деятельности; способность к разработке новых алгоритмических, методических и технологических решений в конкретной сфере профессиональной деятельности ПК-4";ПК;404а;2023-2024;102409;Отл;ВыпРаб
Подготовка к процедуре защиты и защита выпускной квалификационной работы;4;8;265827;Способен принимать обоснованные экономические решения в различных областях жизнедеятельности УК-9;УК;404а;2023-2024;102409;Отл;ВыпРаб
Подготовка к процедуре защиты и защита выпускной квалификационной работы;4;8;265828;Способен формировать нетерпимое отношение к проявлениям экстремизма, терроризма, коррупционному поведению и противодействовать им в профессиональной деятельности УК-10;УК;404а;2023-2024;102409;Отл;ВыпРаб
Подготовка к процедуре защиты и защита выпускной квалификационной работы;4;8;265829;Способен понимать принципы работы современных информационных технологий и использовать их для решения задач профессиональной деятельности ОПК-6;ОПК;404а;2023-2024;102409;Отл;ВыпРаб
Правоведение;4;7;265812;Способен воспринимать межкультурное разнообразие общества в социально-историческом, этическом и философском контекстах УК-5;УК;404а;2023-2024;102409;Зачет;Зачет
Правоведение;4;7;265828;Способен формировать нетерпимое отношение к проявлениям экстремизма, терроризма, коррупционному поведению и противодействовать им в профессиональной деятельности УК-10;УК;404а;2023-2024;102409;Зачет;Зачет
Преддипломная практика;4;8;265808;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2023-2024;102409;Зачет;Прак.
Преддипломная практика;4;8;265809;Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений УК-2;УК;404а;2023-2024;102409;Зачет;Прак.
Преддипломная практика;4;8;265810;Способен осуществлять социальное взаимодействие и реализовывать свою роль в команде УК-3;УК;404а;2023-2024;102409;Зачет;Прак.
Преддипломная практика;4;8;265811;Способен осуществлять деловую коммуникацию в устной и письменной формах на государственном языке Российской Федерации и иностранном(ых) языке(ах) УК-4;УК;404а;2023-2024;102409;Зачет;Прак.
Преддипломная практика;4;8;265816;Способен применять фундаментальные знания, полученные в области математических и (или) естественных наук, и использовать их в профессиональной деятельности ОПК-1;ОПК;404а;2023-2024;102409;Зачет;Прак.
Преддипломная практика;4;8;265817;Способен применять компьютерные/суперкомпьютерные методы, современное программное обеспечение, в том числе отечественного происхождения, для решения задач профессиональной деятельности ОПК-2;ОПК;404а;2023-2024;102409;Зачет;Прак.
Преддипломная практика;4;8;265818;Способен к разработке алгоритмических и программных решений в области системного и прикладного программирования, математических, информационных и имитационных моделей, созданию информационных ресурсов глобальных сетей, образовательного контента, прикладных баз данных, тестов и средств тестирования систем и средств на соответствие стандартам и исходным требованиям ОПК-3;ОПК;404а;2023-2024;102409;Зачет;Прак.
Преддипломная практика;4;8;265819;Способен участвовать в разработке технической документации программных продуктов и комплексов с использованием стандартов, норм и правил, а также в управлении проектами создания информационных систем на стадиях жизненного цикла ОПК-4;ОПК;404а;2023-2024;102409;Зачет;Прак.
Преддипломная практика;4;8;265820;Способен инсталлировать и сопровождать программное обеспечение информационных систем и баз данных, в том числе отечественного происхождения, с учетом информационной безопасности ОПК-5;ОПК;404а;2023-2024;102409;Зачет;Прак.
Преддипломная практика;4;8;265821;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2023-2024;102409;Зачет;Прак.
Преддипломная практика;4;8;265822;"Готовность к включению в профессиональное сообщество; способность проводить под научным руководством локальные исследования на основе существующих методов в конкретной области профессиональной деятельности ПК-2";ПК;404а;2023-2024;102409;Зачет;Прак.
Преддипломная практика;4;8;265823;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2023-2024;102409;Зачет;Прак.
Преддипломная практика;4;8;265824;"Способность к анализу требований и разработке вариантов реализации информационной системы; способность к оценке качества, надежности и эффективности информационной системы в конкретной профессиональной сфере ПК-5";ПК;404а;2023-2024;102409;Зачет;Прак.
Преддипломная практика;4;8;265825;Способность применять в профессиональной деятельности современные языки программирования и методы параллельной обработки данных, операционные системы, электронные библиотеки и пакеты программ, сетевые технологии ПК-6;ПК;404а;2023-2024;102409;Зачет;Прак.
Преддипломная практика;4;8;265826;"Способность собирать, обрабатывать и интерпретировать экспериментальные данные, необходимые для проектной и производственно-технологической деятельности; способность к разработке новых алгоритмических, методических и технологических решений в конкретной сфере профессиональной деятельности ПК-4";ПК;404а;2023-2024;102409;Зачет;Прак.
Прикладная статистика;3;5;252931;"Способность собирать, обрабатывать и интерпретировать экспериментальные данные, необходимые для проектной и производственно-технологической деятельности; способность к разработке новых алгоритмических, методических и технологических решений в конкретной сфере профессиональной деятельности ПК-4";ПК;404а;2022-2023;102409;Зачет;Зачет
Программная инженерия;3;6;252913;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2022-2023;102409;Отл;КурсРаб
Программная инженерия;3;6;252913;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2022-2023;102409;Отл;Экзамен
Программная инженерия;3;6;252914;Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений УК-2;УК;404а;2022-2023;102409;Отл;КурсРаб
Программная инженерия;3;6;252914;Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений УК-2;УК;404а;2022-2023;102409;Отл;Экзамен
Программная инженерия;3;6;252929;"Способность к анализу требований и разработке вариантов реализации информационной системы; способность к оценке качества, надежности и эффективности информационной системы в конкретной профессиональной сфере ПК-5";ПК;404а;2022-2023;102409;Отл;КурсРаб
Программная инженерия;3;6;252929;"Способность к анализу требований и разработке вариантов реализации информационной системы; способность к оценке качества, надежности и эффективности информационной системы в конкретной профессиональной сфере ПК-5";ПК;404а;2022-2023;102409;Отл;Экзамен
Программная инженерия;3;6;252931;"Способность собирать, обрабатывать и интерпретировать экспериментальные данные, необходимые для проектной и производственно-технологической деятельности; способность к разработке новых алгоритмических, методических и технологических решений в конкретной сфере профессиональной деятельности ПК-4";ПК;404а;2022-2023;102409;Отл;КурсРаб
Программная инженерия;3;6;252931;"Способность собирать, обрабатывать и интерпретировать экспериментальные данные, необходимые для проектной и производственно-технологической деятельности; способность к разработке новых алгоритмических, методических и технологических решений в конкретной сфере профессиональной деятельности ПК-4";ПК;404а;2022-2023;102409;Отл;Экзамен
Проектная деятельность в социальном предпринимательстве;3;6;252929;"Способность к анализу требований и разработке вариантов реализации информационной системы; способность к оценке качества, надежности и эффективности информационной системы в конкретной профессиональной сфере ПК-5";ПК;404а;2022-2023;102409;Не изуч.;Экзамен
Профессиональная этика и офисные технологии;1;1;198586;Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений УК-2;УК;404а;2020-2021;102409;Зачет;Зачет
Профессиональная этика и офисные технологии;1;1;198594;Способен применять компьютерные/суперкомпьютерные методы, современное программное обеспечение, в том числе отечественного происхождения, для решения задач профессиональной деятельности ОПК-2;ОПК;404а;2020-2021;102409;Зачет;Зачет
Профессиональная этика и офисные технологии;1;1;198600;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2020-2021;102409;Зачет;Зачет
Распознавание образов;4;8;265808;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2023-2024;102409;Отл;Экзамен
Распознавание образов;4;8;265821;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2023-2024;102409;Отл;Экзамен
Системный анализ;3;5;252913;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2022-2023;102409;Не изуч.;Зачет
Системный анализ;3;5;252926;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2022-2023;102409;Не изуч.;Зачет
Структура и алгоритмы обработки данных;2;3;212710;Способен применять компьютерные/суперкомпьютерные методы, современное программное обеспечение, в том числе отечественного происхождения, для решения задач профессиональной деятельности ОПК-2;ОПК;404а;2021-2022;102409;Зачет;Зачет
Структура и алгоритмы обработки данных;2;3;212711;Способен к разработке алгоритмических и программных решений в области системного и прикладного программирования, математических, информационных и имитационных моделей, созданию информационных ресурсов глобальных сетей, образовательного контента, прикладных баз данных, тестов и средств тестирования систем и средств на соответствие стандартам и исходным требованиям ОПК-3;ОПК;404а;2021-2022;102409;Зачет;Зачет
Структура и алгоритмы обработки данных;2;3;212718;Способность применять в профессиональной деятельности современные языки программирования и методы параллельной обработки данных, операционные системы, электронные библиотеки и пакеты программ, сетевые технологии ПК-6;ПК;404а;2021-2022;102409;Зачет;Зачет
Структура и алгоритмы обработки данных;2;4;212710;Способен применять компьютерные/суперкомпьютерные методы, современное программное обеспечение, в том числе отечественного происхождения, для решения задач профессиональной деятельности ОПК-2;ОПК;404а;2021-2022;102409;Отл;Экзамен
Структура и алгоритмы обработки данных;2;4;212711;Способен к разработке алгоритмических и программных решений в области системного и прикладного программирования, математических, информационных и имитационных моделей, созданию информационных ресурсов глобальных сетей, образовательного контента, прикладных баз данных, тестов и средств тестирования систем и средств на соответствие стандартам и исходным требованиям ОПК-3;ОПК;404а;2021-2022;102409;Отл;Экзамен
Структура и алгоритмы обработки данных;2;4;212718;Способность применять в профессиональной деятельности современные языки программирования и методы параллельной обработки данных, операционные системы, электронные библиотеки и пакеты программ, сетевые технологии ПК-6;ПК;404а;2021-2022;102409;Отл;Экзамен
Теория автоматов и формальных языков;3;5;252913;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2022-2023;102409;Зачет;Зачет
Теория автоматов и формальных языков;3;5;252926;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2022-2023;102409;Зачет;Зачет
Теория алгоритмических языков и трансляторов;3;6;252926;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2022-2023;102409;Отл;Экзамен
Теория алгоритмических языков и трансляторов;3;6;252930;Способность применять в профессиональной деятельности современные языки программирования и методы параллельной обработки данных, операционные системы, электронные библиотеки и пакеты программ, сетевые технологии ПК-6;ПК;404а;2022-2023;102409;Отл;Экзамен
Теория вероятностей;2;3;212701;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2021-2022;102409;Отл;Экзамен
Теория вероятностей;2;3;212709;Способен применять фундаментальные знания, полученные в области математических и (или) естественных наук, и использовать их в профессиональной деятельности ОПК-1;ОПК;404а;2021-2022;102409;Отл;Экзамен
Теория вероятностей;2;3;212714;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2021-2022;102409;Отл;Экзамен
Теория игр и исследование операций;4;8;265821;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2023-2024;102409;Отл;Экзамен
Теория риска;4;7;265809;Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений УК-2;УК;404а;2023-2024;102409;Не изуч.;Зачет
Технологии делового общения;3;5;252916;Способен осуществлять деловую коммуникацию в устной и письменной формах на государственном языке Российской Федерации и иностранном(ых) языке(ах) УК-4;УК;404а;2022-2023;102409;Зачет;Зачет
Технологическая (проектно-технологическая) практика;4;7;265816;Способен применять фундаментальные знания, полученные в области математических и (или) естественных наук, и использовать их в профессиональной деятельности ОПК-1;ОПК;404а;2023-2024;102409;Зачет;Прак.
Технологическая (проектно-технологическая) практика;4;7;265818;Способен к разработке алгоритмических и программных решений в области системного и прикладного программирования, математических, информационных и имитационных моделей, созданию информационных ресурсов глобальных сетей, образовательного контента, прикладных баз данных, тестов и средств тестирования систем и средств на соответствие стандартам и исходным требованиям ОПК-3;ОПК;404а;2023-2024;102409;Зачет;Прак.
Технологическая (проектно-технологическая) практика;4;7;265819;Способен участвовать в разработке технической документации программных продуктов и комплексов с использованием стандартов, норм и правил, а также в управлении проектами создания информационных систем на стадиях жизненного цикла ОПК-4;ОПК;404а;2023-2024;102409;Зачет;Прак.
Технологическая (проектно-технологическая) практика;4;7;265820;Способен инсталлировать и сопровождать программное обеспечение информационных систем и баз данных, в том числе отечественного происхождения, с учетом информационной безопасности ОПК-5;ОПК;404а;2023-2024;102409;Зачет;Прак.
Технологическая (проектно-технологическая) практика;4;7;265822;"Готовность к включению в профессиональное сообщество; способность проводить под научным руководством локальные исследования на основе существующих методов в конкретной области профессиональной деятельности ПК-2";ПК;404а;2023-2024;102409;Зачет;Прак.
Технологическая (проектно-технологическая) практика;4;7;265824;"Способность к анализу требований и разработке вариантов реализации информационной системы; способность к оценке качества, надежности и эффективности информационной системы в конкретной профессиональной сфере ПК-5";ПК;404а;2023-2024;102409;Зачет;Прак.
Технологическая (проектно-технологическая) практика;4;7;265825;Способность применять в профессиональной деятельности современные языки программирования и методы параллельной обработки данных, операционные системы, электронные библиотеки и пакеты программ, сетевые технологии ПК-6;ПК;404а;2023-2024;102409;Зачет;Прак.
Технологическая (проектно-технологическая) практика;4;7;265826;"Способность собирать, обрабатывать и интерпретировать экспериментальные данные, необходимые для проектной и производственно-технологической деятельности; способность к разработке новых алгоритмических, методических и технологических решений в конкретной сфере профессиональной деятельности ПК-4";ПК;404а;2023-2024;102409;Зачет;Прак.
Технологическая (проектно-технологическая) практика;4;7;265829;Способен понимать принципы работы современных информационных технологий и использовать их для решения задач профессиональной деятельности ОПК-6;ОПК;404а;2023-2024;102409;Зачет;Прак.
Технологическое предпринимательство в профессиональной деятельности;2;3;212701;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2021-2022;102409;Не изуч.;Зачет
Технологическое предпринимательство в профессиональной деятельности;2;3;212702;Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений УК-2;УК;404а;2021-2022;102409;Не изуч.;Зачет
Технологическое проектирование в профессиональной деятельности;3;5;252913;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2022-2023;102409;Не изуч.;Зачет
Технологическое проектирование в профессиональной деятельности;3;5;252914;Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений УК-2;УК;404а;2022-2023;102409;Не изуч.;Зачет
Технология разработки бизнес-плана в технологическом предпринимательстве;3;6;252913;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2022-2023;102409;Не изуч.;Экзамен
Технология разработки бизнес-плана в технологическом предпринимательстве;3;6;252914;Способен определять круг задач в рамках поставленной цели и выбирать оптимальные способы их решения, исходя из действующих правовых норм, имеющихся ресурсов и ограничений УК-2;УК;404а;2022-2023;102409;Не изуч.;Экзамен
Трехмерная графика и мультимедиа;2;3;212714;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2021-2022;102409;Не изуч.;Зачет
Трехмерная графика и мультимедиа;2;3;212716;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2021-2022;102409;Не изуч.;Зачет
Управление IT-проектами;3;5;252929;"Способность к анализу требований и разработке вариантов реализации информационной системы; способность к оценке качества, надежности и эффективности информационной системы в конкретной профессиональной сфере ПК-5";ПК;404а;2022-2023;102409;Зачет;Зачет
Управление инновациями;4;8;265808;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2023-2024;102409;Не изуч.;Экзамен
Уравнения математической физики;3;5;252913;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2022-2023;102409;Отл;Экзамен
Уравнения математической физики;3;5;252926;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2022-2023;102409;Отл;Экзамен
Физическая культура и спорт;1;1;198591;Способен поддерживать должный уровень физической подготовленности для обеспечения полноценной социальной и профессиональной деятельности УК-7;УК;404а;2020-2021;102409;Зачет;Зачет
Философия;2;3;212705;Способен воспринимать межкультурное разнообразие общества в социально-историческом, этическом и философском контекстах УК-5;УК;404а;2021-2022;102409;Зачет;Зачет
Функциональное и логическое программирование;3;6;252928;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2022-2023;102409;Зачет;Зачет
Численные методы;3;5;252913;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2022-2023;102409;Отл;Экзамен
Численные методы;3;5;252926;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2022-2023;102409;Отл;Экзамен
Численные методы;3;5;252928;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2022-2023;102409;Отл;Экзамен
Экономика;2;4;212705;Способен воспринимать межкультурное разнообразие общества в социально-историческом, этическом и философском контекстах УК-5;УК;404а;2021-2022;102409;Зачет;Зачет
Экономика;2;4;231830;Способен принимать обоснованные экономические решения в различных областях жизнедеятельности УК-9;УК;404а;2021-2022;102409;Зачет;Зачет
Элективные дисциплины по физической культуре и спорту;1;1;198591;Способен поддерживать должный уровень физической подготовленности для обеспечения полноценной социальной и профессиональной деятельности УК-7;УК;404а;2020-2021;102409;Зачет;Зачет
Элективные дисциплины по физической культуре и спорту;1;2;198591;Способен поддерживать должный уровень физической подготовленности для обеспечения полноценной социальной и профессиональной деятельности УК-7;УК;404а;2020-2021;102409;Зачет;Зачет
Элективные дисциплины по физической культуре и спорту;2;3;212707;Способен поддерживать должный уровень физической подготовленности для обеспечения полноценной социальной и профессиональной деятельности УК-7;УК;404а;2021-2022;102409;Зачет;Зачет
Элективные дисциплины по физической культуре и спорту;2;4;212707;Способен поддерживать должный уровень физической подготовленности для обеспечения полноценной социальной и профессиональной деятельности УК-7;УК;404а;2021-2022;102409;Зачет;Зачет
